,text_id,reader_id,lang,spearman_r,spearman_p,measure,layer
380,6,ru_9,ru,0.020581985096231433,0.8045683362504579,Total fixation duration,Last
381,6,ru_9,ru,0.065689956100915,0.42923375034871447,Gaze duration,First
382,6,ru_9,ru,-0.043978420690749455,0.5968650478211619,Gaze duration,Middle
383,6,ru_9,ru,-0.05054817187889595,0.5431735719514764,Gaze duration,Last
384,6,sp_8,sp,0.017780657372426095,0.8307376946188408,Total fixation duration,First
385,6,sp_8,sp,0.047095224647756014,0.5710952803830006,Total fixation duration,Middle
386,6,sp_8,sp,0.04510427459245621,0.5874961476788191,Total fixation duration,Last
387,6,sp_8,sp,0.061026265831860216,0.46278270610076166,Gaze duration,First
388,6,sp_8,sp,-0.024314547738499545,0.77003829915979,Gaze duration,Middle
389,6,sp_8,sp,-0.03171167086963412,0.7029827139013392,Gaze duration,Last
390,6,tr_47,tr,-0.00016811627601677706,0.998387555580023,Total fixation duration,First
391,6,tr_47,tr,0.09526148220002342,0.2510774020694805,Total fixation duration,Middle
392,6,tr_47,tr,0.07535198164702532,0.36436161916732934,Total fixation duration,Last
393,6,tr_47,tr,0.03977744427372237,0.632402428455936,Gaze duration,First
394,6,tr_47,tr,0.01988116634917504,0.8110961397421019,Gaze duration,Middle
395,6,tr_47,tr,-9.444734607684105e-05,0.9990941319307199,Gaze duration,Last
396,7,du_8,du,0.03956204667162994,0.6053045030981095,Total fixation duration,First
397,7,du_8,du,-0.14878036626684676,0.05074848874253937,Total fixation duration,Middle
398,7,du_8,du,-0.09855456396463777,0.19704081672393256,Total fixation duration,Last
399,7,du_8,du,0.003801029986418271,0.9604152619185788,Gaze duration,First
400,7,du_8,du,-0.12696599005242643,0.09598981672992346,Gaze duration,Middle
401,7,du_8,du,-0.08329354612920721,0.2759300686383646,Gaze duration,Last
402,7,en_99,en,0.03956204667162994,0.6053045030981095,Total fixation duration,First
403,7,en_99,en,-0.14878036626684676,0.05074848874253937,Total fixation duration,Middle
404,7,en_99,en,-0.09855456396463777,0.19704081672393256,Total fixation duration,Last
405,7,en_99,en,0.003801029986418271,0.9604152619185788,Gaze duration,First
406,7,en_99,en,-0.12696599005242643,0.09598981672992346,Gaze duration,Middle
407,7,en_99,en,-0.08329354612920721,0.2759300686383646,Gaze duration,Last
408,7,fi_9,fi,0.05177976276010402,0.49867682683503145,Total fixation duration,First
409,7,fi_9,fi,-0.17095827674279543,0.0245197574548614,Total fixation duration,Middle
410,7,fi_9,fi,-0.1308365510751816,0.0861997789436785,Total fixation duration,Last
411,7,fi_9,fi,0.011806376810924387,0.8774770854558784,Gaze duration,First
412,7,fi_9,fi,-0.13085169195185778,0.08616311497998451,Gaze duration,Middle
413,7,fi_9,fi,-0.08985848687631409,0.23970851787201589,Gaze duration,Last
414,7,ge_9,ge,0.03696387918512516,0.6292204540718193,Total fixation duration,First
415,7,ge_9,ge,-0.14393280516757379,0.058856276842372476,Total fixation duration,Middle
416,7,ge_9,ge,-0.09648943388378459,0.2066364043874102,Total fixation duration,Last
417,7,ge_9,ge,-0.00011356735935030202,0.9988168043703838,Gaze duration,First
418,7,ge_9,ge,-0.1261408884212283,0.09818672454415286,Gaze duration,Middle
419,7,ge_9,ge,-0.08368755533511642,0.27365703961824306,Gaze duration,Last
420,7,gr_9,gr,0.0378909821618174,0.6206404745618179,Total fixation duration,First
421,7,gr_9,gr,-0.15101810937950144,0.04733137779996893,Total fixation duration,Middle
422,7,gr_9,gr,-0.09884080039593018,0.19573677018614177,Total fixation duration,Last
423,7,gr_9,gr,0.005461666068893468,0.9431456690949283,Gaze duration,First
424,7,gr_9,gr,-0.13057356764535782,0.08683859403888111,Gaze duration,Middle
425,7,gr_9,gr,-0.08310122507964153,0.27704418674094183,Gaze duration,Last
426,7,he_8,he,0.040886567067319954,0.5932698703275541,Total fixation duration,First
427,7,he_8,he,-0.13817902851236033,0.06983297553989098,Total fixation duration,Middle
428,7,he_8,he,-0.09084925207781915,0.2345449431307048,Total fixation duration,Last
429,7,he_8,he,0.00780601767942484,0.9188127495533611,Gaze duration,First
430,7,he_8,he,-0.11949140364620757,0.11737535192562541,Gaze duration,Middle
431,7,he_8,he,-0.07787476069734996,0.3084857914261253,Gaze duration,Last
432,7,it_9,it,0.03722346187119182,0.6268130450754946,Total fixation duration,First
433,7,it_9,it,-0.14244715783035303,0.061544622023960834,Total fixation duration,Middle
434,7,it_9,it,-0.09147624325912235,0.23131787901999104,Total fixation duration,Last
435,7,it_9,it,0.0012863241722330127,0.9865991181691569,Gaze duration,First
436,7,it_9,it,-0.12783281030542668,0.09372402104891193,Gaze duration,Middle
437,7,it_9,it,-0.08249857461375511,0.2805550041155077,Gaze duration,Last
438,7,no_9,no,0.0378909821618174,0.6206404745618179,Total fixation duration,First
439,7,no_9,no,-0.15101810937950144,0.04733137779996893,Total fixation duration,Middle
440,7,no_9,no,-0.09884080039593018,0.19573677018614177,Total fixation duration,Last
